airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,price
Vistara,2019-03-09,Banglore,Delhi,06:40:00,21:55:00,915,1,10008
Air India,2019-05-06,Kolkata,Banglore,09:50:00,23:15:00,805,2,14120
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,19:00:00,1005,1,10262
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,3100
Air India,2019-05-24,Kolkata,Banglore,05:50:00,12:30:00,1840,2,12723
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,12:35:00,1355,1,10262
IndiGo,2019-03-24,Banglore,Delhi,13:00:00,15:50:00,170,0,5694
Air India,2019-06-15,Delhi,Cochin,05:00:00,07:40:00,1600,2,10231
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,10:05:00,910,1,14388
IndiGo,2019-06-15,Kolkata,Banglore,04:40:00,07:15:00,155,0,4804
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1,14676
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,19:00:00,450,1,9732
Multiple carriers,2019-06-01,Delhi,Cochin,10:00:00,19:15:00,555,1,16108
IndiGo,2019-06-06,Delhi,Cochin,15:00:00,01:30:00,630,1,5883
Jet Airways,2019-03-01,Banglore,Delhi,14:05:00,21:20:00,435,1,36235
SpiceJet,2019-03-03,Banglore,Delhi,09:35:00,12:30:00,175,0,7648
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1,10262
Air Asia,2019-05-12,Kolkata,Banglore,07:35:00,19:25:00,710,1,5320
Air India,2019-03-01,Banglore,Delhi,11:50:00,08:55:00,1265,1,14594
SpiceJet,2019-06-01,Kolkata,Banglore,09:00:00,11:25:00,145,0,4174
SpiceJet,2019-06-24,Kolkata,Banglore,17:10:00,19:40:00,150,0,3841
Jet Airways,2019-04-01,Banglore,Delhi,15:15:00,18:10:00,175,0,4544
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1730,1,10703
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,19:50:00,1360,1,10844
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,04:25:00,2045,2,13082
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,04:25:00,1015,1,12898
Air India,2019-06-01,Delhi,Cochin,09:45:00,09:25:00,1420,1,8372
Jet Airways,2019-03-09,Delhi,Cochin,10:45:00,04:25:00,1060,2,15654
Jet Airways,2019-03-15,Banglore,Delhi,07:00:00,16:10:00,550,1,9134
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,12:00:00,1170,1,10844
Air India,2019-06-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2,11752
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,23:35:00,570,1,14781
IndiGo,2019-03-27,Chennai,Kolkata,14:40:00,17:05:00,145,0,3384
Multiple carriers,2019-06-15,Delhi,Cochin,07:05:00,22:30:00,925,1,9646
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40:00,1100,2,11911
Multiple carriers,2019-03-06,Delhi,Cochin,07:10:00,22:20:00,910,1,7563
IndiGo,2019-06-12,Chennai,Kolkata,05:15:00,07:40:00,145,0,3540
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1570,1,11467
Multiple carriers,2019-05-27,Delhi,Cochin,04:55:00,19:00:00,845,1,11573
Air India,2019-05-18,Delhi,Cochin,20:40:00,09:25:00,765,1,7480
IndiGo,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1,7006
Air India,2019-03-03,Delhi,Cochin,06:05:00,09:25:00,1640,1,14042
Jet Airways,2019-03-09,Banglore,Delhi,08:55:00,10:45:00,1550,1,11087
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1,12373
Air India,2019-05-12,Kolkata,Banglore,20:30:00,16:15:00,1185,1,10203
Air India,2019-05-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1,6612
Jet Airways,2019-04-06,Delhi,Cochin,11:00:00,14:15:00,195,0,4886
SpiceJet,2019-03-24,Banglore,Delhi,05:45:00,08:35:00,170,0,4377
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,180,0,5769
GoAir,2019-03-24,Banglore,Delhi,07:45:00,10:40:00,175,0,4239
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,04:25:00,365,1,15764
Jet Airways,2019-03-21,Delhi,Cochin,09:00:00,18:50:00,590,1,7438
Multiple carriers,2019-03-09,Delhi,Cochin,19:00:00,01:35:00,395,1,13677
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,10:05:00,775,1,13584
Jet Airways,2019-05-12,Banglore,Delhi,07:10:00,10:10:00,180,0,7229
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,12:35:00,1040,1,14714
Air India,2019-06-03,Banglore,Delhi,13:20:00,16:10:00,170,0,6961
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,620,1,14714
Multiple carriers,2019-06-06,Delhi,Cochin,11:40:00,01:30:00,830,1,6795
Air India,2019-03-27,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,2575
Air Asia,2019-05-24,Kolkata,Banglore,06:50:00,10:30:00,220,1,5162
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1,14781
SpiceJet,2019-05-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,1965
Air India,2019-03-03,Banglore,Delhi,10:30:00,21:25:00,655,2,11003
IndiGo,2019-05-03,Kolkata,Banglore,17:15:00,19:50:00,155,0,4804
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,09:45:00,800,1,13469
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1,14676
IndiGo,2019-06-24,Delhi,Cochin,11:25:00,21:00:00,575,1,5894
IndiGo,2019-03-09,Banglore,Delhi,01:30:00,04:15:00,165,0,4545
IndiGo,2019-06-06,Delhi,Cochin,11:25:00,21:00:00,575,1,6093
IndiGo,2019-03-12,Chennai,Kolkata,13:20:00,15:35:00,135,0,6297
SpiceJet,2019-06-24,Kolkata,Banglore,06:55:00,09:30:00,155,0,3873
IndiGo,2019-06-03,Delhi,Cochin,05:05:00,12:10:00,425,1,6818
SpiceJet,2019-06-09,Delhi,Cochin,08:45:00,13:15:00,270,1,5158
Air India,2019-05-15,Delhi,Cochin,17:15:00,09:25:00,970,2,8839
Jet Airways,2019-03-06,Mumbai,Hyderabad,17:00:00,16:50:00,1430,1,19595
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,22:35:00,365,1,14781
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,12:35:00,330,1,12898
Air India,2019-05-01,Kolkata,Banglore,14:15:00,16:45:00,150,0,6245
SpiceJet,2019-04-21,Kolkata,Banglore,22:20:00,00:40:00,140,0,4807
Air India,2019-05-21,Delhi,Cochin,06:05:00,09:25:00,1640,1,7480
Multiple carriers,2019-03-21,Delhi,Cochin,16:00:00,01:35:00,575,1,13542
Air India,2019-05-18,Kolkata,Banglore,16:45:00,21:05:00,1700,1,7872
IndiGo,2019-06-27,Delhi,Cochin,06:50:00,22:30:00,940,1,6442
Air India,2019-04-24,Banglore,Delhi,21:05:00,23:55:00,170,0,5228
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,08:10:00,795,1,11134
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1,10262
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,08:15:00,665,1,14178
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,12:35:00,1100,1,10262
Multiple carriers,2019-06-27,Delhi,Cochin,11:40:00,21:00:00,560,1,6007
IndiGo,2019-05-21,Banglore,Delhi,22:10:00,01:00:00,170,0,3625
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,09:25:00,1065,1,12395
Vistara,2019-05-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687
IndiGo,2019-05-15,Delhi,Cochin,11:25:00,21:00:00,575,1,6979
Air India,2019-05-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,3625
SpiceJet,2019-03-03,Delhi,Cochin,06:10:00,11:20:00,310,1,9748
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,04:25:00,1165,1,12373
IndiGo,2019-05-24,Chennai,Kolkata,13:15:00,15:35:00,140,0,3597
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2,12497
Multiple carriers,2019-06-27,Delhi,Cochin,09:45:00,16:10:00,385,1,9646
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,23:35:00,395,1,12692
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,16:20:00,590,1,14571
Air India,2019-05-15,Delhi,Cochin,13:00:00,19:15:00,375,1,8372
SpiceJet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,3841
Multiple carriers,2019-06-03,Delhi,Cochin,14:55:00,22:30:00,455,1,7038
Multiple carriers,2019-03-03,Delhi,Cochin,02:15:00,15:30:00,795,1,17057
Air India,2019-03-06,Delhi,Cochin,23:00:00,07:40:00,520,1,14777
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,04:25:00,1105,1,14714
Vistara,2019-04-12,Banglore,Delhi,09:45:00,12:35:00,170,0,5403
IndiGo,2019-05-12,Chennai,Kolkata,13:15:00,15:35:00,140,0,3597
Multiple carriers,2019-06-06,Delhi,Cochin,09:45:00,16:10:00,385,1,9646
IndiGo,2019-05-21,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,2227
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,18:00:00,1295,1,14151
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,22:30:00,345,1,8028
IndiGo,2019-05-18,Banglore,Delhi,01:30:00,04:15:00,165,0,5780
Multiple carriers,2019-05-21,Delhi,Cochin,10:00:00,01:30:00,930,1,14067
SpiceJet,2019-05-09,Banglore,Delhi,09:30:00,12:20:00,170,0,4885
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,07:10:00,865,1,6151
Multiple carriers,2019-05-01,Delhi,Cochin,19:00:00,01:30:00,390,1,9424
IndiGo,2019-05-27,Kolkata,Banglore,17:15:00,19:50:00,155,0,4804
IndiGo,2019-03-24,Kolkata,Banglore,15:20:00,17:55:00,155,0,6985
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,04:25:00,1015,1,10262
Air India,2019-03-01,Banglore,Delhi,22:00:00,23:20:00,1520,1,14305
Multiple carriers,2019-05-15,Delhi,Cochin,10:20:00,19:00:00,520,1,9794
Jet Airways,2019-06-15,Banglore,Delhi,06:00:00,08:45:00,165,0,7229
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,19:40:00,1605,1,14231
IndiGo,2019-05-12,Kolkata,Banglore,04:40:00,07:15:00,155,0,4804
IndiGo,2019-04-09,Kolkata,Banglore,19:55:00,23:50:00,235,1,4226
IndiGo,2019-06-24,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,3175
Air Asia,2019-05-12,Banglore,Delhi,11:10:00,13:55:00,165,0,3383
IndiGo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1,14871
IndiGo,2019-03-03,Delhi,Cochin,07:30:00,15:30:00,480,1,14871
Multiple carriers,2019-06-06,Delhi,Cochin,10:00:00,01:30:00,930,1,7723
IndiGo,2019-03-21,Delhi,Cochin,06:40:00,22:20:00,940,1,6558
Multiple carriers,2019-03-03,Delhi,Cochin,07:05:00,13:20:00,375,1,17057
IndiGo,2019-03-24,Banglore,Delhi,22:20:00,01:10:00,170,0,7303
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2,21954
IndiGo,2019-03-24,Banglore,Delhi,18:55:00,21:45:00,170,0,7303
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,12:35:00,1505,1,10262
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,350,1,12347
IndiGo,2019-03-01,Mumbai,Hyderabad,06:20:00,07:45:00,85,0,17501
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0,7229
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2,12488
Jet Airways,2019-06-06,Banglore,Delhi,11:10:00,14:05:00,175,0,8016
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,12:35:00,330,1,15554
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1,8505
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,18:50:00,2245,2,18799
Air Asia,2019-05-12,Banglore,Delhi,04:55:00,07:45:00,170,0,4282
IndiGo,2019-03-24,Kolkata,Banglore,14:30:00,20:10:00,340,1,9413
IndiGo,2019-03-06,Delhi,Cochin,08:25:00,15:30:00,425,1,14871
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,395,1,14714
IndiGo,2019-04-24,Kolkata,Banglore,15:15:00,17:45:00,150,0,4804
IndiGo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0,4804
Air Asia,2019-04-18,Kolkata,Banglore,19:55:00,22:25:00,150,0,4409
IndiGo,2019-03-01,Banglore,Delhi,10:05:00,13:00:00,175,0,10067
Multiple carriers,2019-05-09,Delhi,Cochin,14:00:00,21:00:00,420,1,13727
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,19:00:00,715,1,15190
Jet Airways,2019-03-12,Banglore,Delhi,20:35:00,18:25:00,1310,1,11087
SpiceJet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,140,0,3597
SpiceJet,2019-05-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,3597
SpiceJet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,2647
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,10:05:00,910,1,7757
IndiGo,2019-06-12,Kolkata,Banglore,04:40:00,07:15:00,155,0,4804
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,04:25:00,520,1,12373
Air Asia,2019-05-03,Banglore,Delhi,23:55:00,02:45:00,170,0,4483
IndiGo,2019-03-18,Kolkata,Banglore,09:35:00,12:20:00,165,0,4462
Vistara,2019-05-24,Banglore,Delhi,11:30:00,14:20:00,170,0,4668
Air India,2019-03-12,Banglore,Delhi,08:50:00,23:25:00,875,2,13250
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35:00,1320,2,10919
SpiceJet,2019-04-27,Kolkata,Banglore,22:20:00,00:40:00,140,0,3841
Air India,2019-04-27,Banglore,Delhi,10:00:00,12:45:00,165,0,5228
Jet Airways,2019-03-09,Banglore,Delhi,05:50:00,12:20:00,390,1,10037
Multiple carriers,2019-05-09,Delhi,Cochin,07:05:00,16:10:00,545,1,8018
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,3210
SpiceJet,2019-05-27,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,2017
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0,5403
Multiple carriers,2019-06-06,Delhi,Cochin,19:00:00,01:30:00,390,1,7530
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1,14781
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1350,1,22798
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0,8016
IndiGo,2019-04-27,Delhi,Cochin,14:20:00,17:35:00,195,0,5021
Jet Airways,2019-03-21,Banglore,Delhi,08:55:00,20:20:00,685,1,7832
Jet Airways,2019-03-21,Banglore,Delhi,21:25:00,11:25:00,840,1,7832
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,865,1,9663
IndiGo,2019-04-09,Delhi,Cochin,10:35:00,01:30:00,895,1,6270
IndiGo,2019-06-01,Chennai,Kolkata,11:35:00,14:00:00,145,0,3858
Vistara,2019-03-06,Mumbai,Hyderabad,10:25:00,22:55:00,750,1,12395
IndiGo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,415,1,5883
Multiple carriers,2019-03-21,Delhi,Cochin,07:05:00,15:30:00,505,1,14486
Air India,2019-03-09,Delhi,Cochin,05:55:00,07:40:00,1545,2,14483
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,08:15:00,735,1,7757
Multiple carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,650,1,8601
Air India,2019-06-09,Delhi,Cochin,05:55:00,19:15:00,2240,2,10493
Multiple carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,520,1,9794
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,540,1,11399
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2,10929
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,18:50:00,1520,1,5963
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,18:10:00,1345,1,10031
Vistara,2019-03-06,Chennai,Kolkata,07:05:00,09:20:00,135,0,7414
Vistara,2019-06-06,Banglore,Delhi,11:30:00,14:20:00,170,0,4668
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,04:45:00,590,1,14231
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,23:35:00,425,1,10844
Air India,2019-03-03,Banglore,Delhi,06:10:00,08:55:00,165,0,8851
Multiple carriers,2019-03-03,Delhi,Cochin,13:00:00,21:00:00,480,1,17493
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1210,1,14714
SpiceJet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,155,0,3841
Air India,2019-05-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,3100
IndiGo,2019-05-12,Banglore,Delhi,04:00:00,06:50:00,170,0,3943
Air India,2019-03-27,Delhi,Cochin,06:10:00,08:15:00,1565,1,6681
Jet Airways,2019-06-21,Banglore,Delhi,06:00:00,08:45:00,165,0,8016
Multiple carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,920,1,6513
Jet Airways,2019-06-27,Delhi,Cochin,19:15:00,19:00:00,1425,1,10262
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,1595,2,9863
SpiceJet,2019-03-27,Chennai,Kolkata,09:30:00,12:05:00,155,0,3332
IndiGo,2019-06-24,Chennai,Kolkata,22:05:00,00:25:00,140,0,5277
Multiple carriers,2019-06-15,Delhi,Cochin,10:35:00,19:15:00,520,1,8614
Air Asia,2019-04-01,Kolkata,Banglore,22:50:00,01:20:00,150,0,4107
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,12:35:00,1615,2,10368
IndiGo,2019-05-18,Kolkata,Banglore,17:35:00,22:15:00,280,1,5699
Multiple carriers,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,480,1,13377
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,8040
Air India,2019-03-03,Delhi,Cochin,22:00:00,19:15:00,1275,2,22096
Air Asia,2019-04-24,Banglore,Delhi,11:10:00,13:55:00,165,0,3383
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1265,1,10844
Multiple carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1,13377
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,23:25:00,975,1,9345
Air Asia,2019-06-12,Kolkata,Banglore,15:10:00,23:30:00,500,2,5192
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,10:05:00,910,1,8529
Air India,2019-03-06,Banglore,Delhi,08:15:00,22:55:00,880,2,13942
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,705,1,17549
Air India,2019-03-12,Mumbai,Hyderabad,06:00:00,19:25:00,2245,2,12119
SpiceJet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,150,0,3841
SpiceJet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,2017
Multiple carriers,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,555,1,14848
SpiceJet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0,3597
Multiple carriers,2019-05-09,Delhi,Cochin,06:00:00,19:15:00,795,1,8266
IndiGo,2019-03-21,Delhi,Cochin,08:35:00,22:20:00,825,1,6790
SpiceJet,2019-06-03,Delhi,Cochin,17:55:00,22:50:00,295,1,5409
IndiGo,2019-04-09,Delhi,Cochin,06:40:00,21:00:00,860,1,6093
GoAir,2019-05-27,Banglore,Delhi,20:55:00,23:40:00,165,0,3419
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,775,1,8529
Air India,2019-06-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2,11542
Air India,2019-06-12,Kolkata,Banglore,12:00:00,07:55:00,1195,2,9416
Multiple carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,730,1,16108
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1210,1,16079
Air India,2019-03-15,Banglore,Delhi,10:30:00,22:55:00,745,1,6383
SpiceJet,2019-04-18,Kolkata,Banglore,22:20:00,00:40:00,140,0,4174
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1120,1,13067
Multiple carriers,2019-06-12,Delhi,Cochin,09:45:00,22:30:00,765,1,9646
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,345,1,10844
Air India,2019-06-15,Banglore,Delhi,06:10:00,08:55:00,165,0,6961
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,10:05:00,1655,1,13941
Jet Airways,2019-03-09,Banglore,Delhi,08:55:00,11:25:00,1590,1,11087
Vistara,2019-06-03,Banglore,Delhi,17:00:00,19:35:00,155,0,4878
Multiple carriers,2019-03-21,Delhi,Cochin,07:05:00,19:15:00,730,1,13378
Multiple carriers,2019-03-09,Delhi,Cochin,09:45:00,21:20:00,695,2,10090
Air Asia,2019-06-06,Kolkata,Banglore,06:50:00,10:30:00,220,1,6857
Jet Airways,2019-05-21,Delhi,Cochin,19:10:00,19:00:00,1430,2,15129
Multiple carriers,2019-03-21,Delhi,Cochin,09:00:00,19:15:00,615,1,13378
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,20:45:00,400,1,14781
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,865,1,10844
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,18:00:00,1295,1,14151
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1,11841
Multiple carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,470,1,8625
Jet Airways,2019-03-18,Banglore,Delhi,05:45:00,15:15:00,570,1,12284
IndiGo,2019-06-06,Delhi,Cochin,08:35:00,22:30:00,835,1,6442
Jet Airways,2019-03-21,Banglore,Delhi,05:45:00,21:20:00,935,1,7832
Air India,2019-05-15,Kolkata,Banglore,14:35:00,14:35:00,1440,1,6528
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,1380,2,13591
Air India,2019-06-24,Delhi,Cochin,20:15:00,19:15:00,1380,2,13381
Air Asia,2019-03-24,Banglore,Delhi,23:25:00,02:10:00,165,0,4482
Air India,2019-05-27,Banglore,Delhi,10:00:00,12:45:00,165,0,6961
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0,7229
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,08:15:00,1545,1,13941
IndiGo,2019-06-15,Chennai,Kolkata,05:15:00,07:40:00,145,0,3540
Air India,2019-03-09,Banglore,Delhi,17:00:00,16:40:00,1420,1,9292
SpiceJet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,3873
IndiGo,2019-05-06,Kolkata,Banglore,21:00:00,02:15:00,315,1,7252
Jet Airways,2019-04-01,Delhi,Cochin,22:50:00,12:35:00,825,1,5177
SpiceJet,2019-06-01,Banglore,Delhi,21:10:00,00:05:00,175,0,3573
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,800,1,10844
Multiple carriers,2019-03-03,Delhi,Cochin,09:10:00,18:50:00,580,1,15135
IndiGo,2019-03-21,Delhi,Cochin,04:55:00,21:20:00,985,2,6223
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2,15318
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,09:20:00,1155,1,9663
Air India,2019-03-09,Banglore,Delhi,11:05:00,22:45:00,700,1,10657
Multiple carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,835,3,16294
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,19:50:00,800,1,14781
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,190,0,6216
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,20:45:00,740,1,10844
IndiGo,2019-06-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,4049
Multiple carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1,12192
IndiGo,2019-05-15,Delhi,Cochin,14:25:00,17:40:00,195,0,6541
IndiGo,2019-05-09,Delhi,Cochin,17:05:00,22:25:00,320,1,6027
Jet Airways,2019-06-21,Banglore,Delhi,18:55:00,22:00:00,185,0,7754
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,18:50:00,1350,1,8820
Jet Airways,2019-04-03,Banglore,Delhi,18:55:00,22:00:00,185,0,4544
SpiceJet,2019-06-15,Banglore,Delhi,05:55:00,08:35:00,160,0,4423
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,21:05:00,1480,1,12121
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,10:05:00,775,1,11841
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,955,2,11668
Multiple carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,480,1,13727
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,19:00:00,1395,1,10262
Air India,2019-05-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,3100
Jet Airways,2019-03-24,Banglore,Delhi,19:55:00,22:35:00,160,0,7229
Air India,2019-03-18,Banglore,Delhi,06:45:00,16:20:00,575,2,12935
IndiGo,2019-06-24,Delhi,Cochin,11:25:00,01:30:00,845,1,5684
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,450,1,14781
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1,14714
Multiple carriers,2019-05-09,Delhi,Cochin,07:10:00,16:10:00,540,1,6513
Air Asia,2019-06-09,Kolkata,Banglore,06:50:00,10:30:00,220,1,6857
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,22:25:00,340,1,11410
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1485,1,10262
Multiple carriers,2019-03-09,Delhi,Cochin,07:05:00,21:20:00,855,2,8620
IndiGo,2019-06-15,Delhi,Cochin,14:20:00,22:30:00,490,1,6412
Air India,2019-04-15,Banglore,Delhi,06:10:00,08:55:00,165,0,5228
IndiGo,2019-05-18,Kolkata,Banglore,08:10:00,13:00:00,290,1,5279
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,23:00:00,680,1,13555
Air Asia,2019-05-09,Kolkata,Banglore,06:50:00,10:30:00,220,1,5162
Vistara,2019-05-06,Banglore,Delhi,17:00:00,19:35:00,155,0,4878
SpiceJet,2019-03-15,Banglore,Delhi,10:20:00,18:15:00,475,1,10341
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1660,1,10315
Multiple carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1,7618
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1,12692
